GenBank Account #, Molecule Type, Molecule Length, Tax ID, Organism Name, Taxonomy
AE003853.1, Chromosome, 1072315, 243277, Vibrio cholerae O1 biovar El Tor str. N16961 (g-proteobacteria), Vibrio cholerae O1 biovar El Tor; Vibrio cholerae O1; Vibrio cholerae; Vibrio; Vibrionaceae; Vibrionales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE004091.2, Chromosome, 6264404, 208964, Pseudomonas aeruginosa PAO1 (g-proteobacteria), Pseudomonas aeruginosa; Pseudomonas aeruginosa group; Pseudomonas; Pseudomonadaceae; Pseudomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE004092.2, Chromosome, 1852433, 160490, Streptococcus pyogenes M1 GAS (firmicutes), Streptococcus pyogenes serotype M1; Streptococcus pyogenes; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE004439.1, Chromosome, 2257487, 272843, Pasteurella multocida subsp. multocida str. Pm70 (g-proteobacteria), Pasteurella multocida subsp. multocida; Pasteurella multocida; Pasteurella; Pasteurellaceae; Pasteurellales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE004969.1, Chromosome, 2153922, 242231, Neisseria gonorrhoeae FA 1090 (b-proteobacteria), Neisseria gonorrhoeae; Neisseria; Neisseriaceae; Neisseriales; Betaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE005176.1, Chromosome, 2365589, 272623, Lactococcus lactis subsp. lactis Il1403 (firmicutes), Lactococcus lactis subsp. lactis; Lactococcus lactis; Lactococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE005672.3, Chromosome, 2160842, 170187, Streptococcus pneumoniae TIGR4 (firmicutes), Streptococcus pneumoniae; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE005673.1, Chromosome, 4016947, 190650, Caulobacter crescentus CB15 (a-proteobacteria), Caulobacter vibrioides; Caulobacter; Caulobacteraceae; Caulobacterales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE005674.2, Chromosome, 4607202, 198214, Shigella flexneri 2a str. 301 (enterobacteria), Shigella flexneri 2a; Shigella flexneri; Shigella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AF386526.1, Plasmid, 221618, 198214, Shigella flexneri 2a str. 301 (enterobacteria), Shigella flexneri 2a; Shigella flexneri; Shigella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE006468.2, Chromosome, 4857450, 99287, Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (enterobacteria), Salmonella enterica subsp. enterica serovar Typhimurium; Salmonella enterica subsp. enterica; Salmonella enterica; Salmonella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE006471.2, Plasmid, 93933, 99287, Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (enterobacteria), Salmonella enterica subsp. enterica serovar Typhimurium; Salmonella enterica subsp. enterica; Salmonella enterica; Salmonella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AL591688.1, Chromosome, 3654135, 266834, Sinorhizobium meliloti 1021 (a-proteobacteria), Sinorhizobium meliloti; Sinorhizobium; Sinorhizobium/Ensifer group; Rhizobiaceae; Rhizobiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE006469.1, Plasmid, 1354226, 266834, Sinorhizobium meliloti 1021 (a-proteobacteria), Sinorhizobium meliloti; Sinorhizobium; Sinorhizobium/Ensifer group; Rhizobiaceae; Rhizobiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AL591985.1, Plasmid, 1683333, 266834, Sinorhizobium meliloti 1021 (a-proteobacteria), Sinorhizobium meliloti; Sinorhizobium; Sinorhizobium/Ensifer group; Rhizobiaceae; Rhizobiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE006470.1, Chromosome, 2154946, 194439, Chlorobium tepidum TLS (green sulfur bacteria), Chlorobaculum tepidum; Chlorobaculum; Chlorobiaceae; Chlorobiales; Chlorobia; Chlorobi; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
AE006914.1, Chromosome, 1268755, 272944, Rickettsia conorii str. Malish 7 (a-proteobacteria), Rickettsia conorii; spotted fever group; Rickettsia; Rickettsieae; Rickettsiaceae; Rickettsiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE007317.1, Chromosome, 2038615, 171101, Streptococcus pneumoniae R6 (firmicutes), Streptococcus pneumoniae; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE008691.1, Chromosome, 2689445, 273068, Caldanaerobacter subterraneus subsp. tengcongensis MB4 (firmicutes), Caldanaerobacter subterraneus subsp. tengcongensis; Caldanaerobacter subterraneus; Caldanaerobacter; Thermoanaerobacteraceae; Thermoanaerobacterales; Clostridia; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE008692.2, Chromosome, 2056363, 264203, Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821 (a-proteobacteria), Zymomonas mobilis subsp. mobilis; Zymomonas mobilis; Zymomonas; Sphingomonadaceae; Sphingomonadales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE008917.1, Chromosome, 2117144, 224914, Brucella melitensis bv. 1 str. 16M (a-proteobacteria), Brucella melitensis bv. 1; Brucella melitensis; Brucella; Brucellaceae; Rhizobiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE008918.1, Chromosome, 1177787, 224914, Brucella melitensis bv. 1 str. 16M (a-proteobacteria), Brucella melitensis bv. 1; Brucella melitensis; Brucella; Brucellaceae; Rhizobiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE008922.1, Chromosome, 5076188, 190485, Xanthomonas campestris pv. campestris str. ATCC 33913 (g-proteobacteria), Xanthomonas campestris pv. campestris; Xanthomonas campestris; Xanthomonas; Xanthomonadaceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE008923.1, Chromosome, 5175554, 190486, Xanthomonas axonopodis pv. citri str. 306 (g-proteobacteria), Xanthomonas citri pv. citri; Xanthomonas citri; Xanthomonas citri group; Xanthomonas; Xanthomonadaceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE008924.1, Plasmid, 33700, 190486, Xanthomonas axonopodis pv. citri str. 306 (g-proteobacteria), Xanthomonas citri pv. citri; Xanthomonas citri; Xanthomonas citri group; Xanthomonas; Xanthomonadaceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE008925.1, Plasmid, 64920, 190486, Xanthomonas axonopodis pv. citri str. 306 (g-proteobacteria), Xanthomonas citri pv. citri; Xanthomonas citri; Xanthomonas citri group; Xanthomonas; Xanthomonadaceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE009440.1, Chromosome, 1225935, 182082, Chlamydophila pneumoniae TW-183 (chlamydias), Chlamydia pneumoniae; Chlamydia; Chlamydia/Chlamydophila group; Chlamydiaceae; Chlamydiales; Chlamydiia; Chlamydiae; PVC group; Bacteria; cellular organisms
AE009442.1, Chromosome, 2519802, 183190, Xylella fastidiosa Temecula1 (g-proteobacteria), Xylella fastidiosa; Xylella; Xanthomonadaceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE009443.1, Plasmid, 1346, 183190, Xylella fastidiosa Temecula1 (g-proteobacteria), Xylella fastidiosa; Xylella; Xanthomonadaceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE009948.1, Chromosome, 2160267, 208435, Streptococcus agalactiae 2603V/R (firmicutes), Streptococcus agalactiae serogroup V; Streptococcus agalactiae; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE009949.1, Chromosome, 1895017, 186103, Streptococcus pyogenes MGAS8232 (firmicutes), Streptococcus pyogenes serotype M18; Streptococcus pyogenes; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE009951.2, Chromosome, 2174500, 190304, Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (fusobacteria), Fusobacterium nucleatum subsp. nucleatum; Fusobacterium nucleatum; Fusobacterium; Fusobacteriaceae; Fusobacteriales; Fusobacteriia; Fusobacteria; Bacteria; cellular organisms
AE013218.1, Chromosome, 641454, 198804, Buchnera aphidicola str. Sg (Schizaphis graminum) (enterobacteria), Buchnera aphidicola (Schizaphis graminum); Buchnera aphidicola; Buchnera; Erwiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE013598.1, Chromosome, 4941439, 291331, Xanthomonas oryzae pv. oryzae KACC 10331 (g-proteobacteria), Xanthomonas oryzae pv. oryzae; Xanthomonas oryzae; Xanthomonas; Xanthomonadaceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE014073.1, Chromosome, 4599354, 198215, Shigella flexneri 2a str. 2457T (enterobacteria), Shigella flexneri 2a; Shigella flexneri; Shigella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE014074.1, Chromosome, 1900521, 198466, Streptococcus pyogenes MGAS315 (firmicutes), Streptococcus pyogenes serotype M3; Streptococcus pyogenes; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE014075.1, Chromosome, 5231428, 199310, Escherichia coli CFT073 (E. coli), Escherichia coli; Escherichia; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE014133.2, Chromosome, 2032925, 210007, Streptococcus mutans UA159 (firmicutes), Streptococcus mutans; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE014184.1, Chromosome, 927303, 203267, Tropheryma whipplei str. Twist (high GC Gram+), Tropheryma whipplei; Tropheryma; unclassified Micrococcales; Micrococcales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
AE014291.4, Chromosome, 2107794, 204722, Brucella suis 1330 (a-proteobacteria), Brucella suis; Brucella; Brucellaceae; Rhizobiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE014292.2, Chromosome, 1207381, 204722, Brucella suis 1330 (a-proteobacteria), Brucella suis; Brucella; Brucellaceae; Rhizobiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE014295.3, Chromosome, 2256640, 206672, Bifidobacterium longum NCC2705 (high GC Gram+), Bifidobacterium longum; Bifidobacterium; Bifidobacteriaceae; Bifidobacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
AF540971.1, Plasmid, 3626, 206672, Bifidobacterium longum NCC2705 (high GC Gram+), Bifidobacterium longum; Bifidobacterium; Bifidobacteriaceae; Bifidobacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
AE014613.1, Chromosome, 4791961, 209261, Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (enterobacteria), Salmonella enterica subsp. enterica serovar Typhi; Salmonella enterica subsp. enterica; Salmonella enterica; Salmonella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE015451.2, Chromosome, 6181873, 160488, Pseudomonas putida KT2440 (g-proteobacteria), Pseudomonas putida; Pseudomonas putida group; Pseudomonas; Pseudomonadaceae; Pseudomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE015924.1, Chromosome, 2343476, 242619, Porphyromonas gingivalis W83 (CFB group bacteria), Porphyromonas gingivalis; Porphyromonas; Porphyromonadaceae; Bacteroidales; Bacteroidia; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
AE015925.1, Chromosome, 1173390, 227941, Chlamydophila caviae GPIC (chlamydias), Chlamydia caviae; Chlamydia; Chlamydia/Chlamydophila group; Chlamydiaceae; Chlamydiales; Chlamydiia; Chlamydiae; PVC group; Bacteria; cellular organisms
AE015926.1, Plasmid, 7966, 227941, Chlamydophila caviae GPIC (chlamydias), Chlamydia caviae; Chlamydia; Chlamydia/Chlamydophila group; Chlamydiaceae; Chlamydiales; Chlamydiia; Chlamydiae; PVC group; Bacteria; cellular organisms
AE015927.1, Chromosome, 2799251, 212717, Clostridium tetani E88 (firmicutes), Clostridium tetani; Clostridium; Clostridiaceae; Clostridiales; Clostridia; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AF528097.1, Plasmid, 74082, 212717, Clostridium tetani E88 (firmicutes), Clostridium tetani; Clostridium; Clostridiaceae; Clostridiales; Clostridia; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE015929.1, Chromosome, 2499279, 176280, Staphylococcus epidermidis ATCC 12228 (firmicutes), Staphylococcus epidermidis; Staphylococcus; Staphylococcaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE015930.1, Plasmid, 4439, 176280, Staphylococcus epidermidis ATCC 12228 (firmicutes), Staphylococcus epidermidis; Staphylococcus; Staphylococcaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE015931.1, Plasmid, 4679, 176280, Staphylococcus epidermidis ATCC 12228 (firmicutes), Staphylococcus epidermidis; Staphylococcus; Staphylococcaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE015932.1, Plasmid, 8007, 176280, Staphylococcus epidermidis ATCC 12228 (firmicutes), Staphylococcus epidermidis; Staphylococcus; Staphylococcaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE015933.1, Plasmid, 17261, 176280, Staphylococcus epidermidis ATCC 12228 (firmicutes), Staphylococcus epidermidis; Staphylococcus; Staphylococcaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE015934.1, Plasmid, 24365, 176280, Staphylococcus epidermidis ATCC 12228 (firmicutes), Staphylococcus epidermidis; Staphylococcus; Staphylococcaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE015935.1, Plasmid, 6585, 176280, Staphylococcus epidermidis ATCC 12228 (firmicutes), Staphylococcus epidermidis; Staphylococcus; Staphylococcaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE016822.1, Chromosome, 2584158, 281090, Leifsonia xyli subsp. xyli str. CTCB07 (high GC Gram+), Leifsonia xyli subsp. xyli; Leifsonia xyli; Leifsonia; Microbacteriaceae; Micrococcales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
AE016823.1, Chromosome, 4277185, 267671, Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130 (bacteria), Leptospira interrogans serovar Copenhageni; Leptospira interrogans; Leptospira; Leptospiraceae; Leptospirales; Spirochaetia; Spirochaetes; Bacteria; cellular organisms
AE016824.1, Chromosome, 350181, 267671, Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130 (bacteria), Leptospira interrogans serovar Copenhageni; Leptospira interrogans; Leptospira; Leptospiraceae; Leptospirales; Spirochaetia; Spirochaetes; Bacteria; cellular organisms
AE016825.1, Chromosome, 4751080, 243365, Chromobacterium violaceum ATCC 12472 (b-proteobacteria), Chromobacterium violaceum; Chromobacterium; Chromobacterium group; Chromobacteriaceae; Neisseriales; Betaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE016826.1, Chromosome, 615980, 224915, Buchnera aphidicola str. Bp (Baizongia pistaciae) (enterobacteria), Buchnera aphidicola (Baizongia pistaciae); Buchnera aphidicola; Buchnera; Erwiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AF492591.1, Plasmid, 2399, 224915, Buchnera aphidicola str. Bp (Baizongia pistaciae) (enterobacteria), Buchnera aphidicola (Baizongia pistaciae); Buchnera aphidicola; Buchnera; Erwiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE016827.1, Chromosome, 2314078, 221988, Mannheimia succiniciproducens MBEL55E (g-proteobacteria), [Mannheimia] succiniciproducens; Basfia; Pasteurellaceae; Pasteurellales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE016828.3, Chromosome, 1995488, 227377, Coxiella burnetii RSA 493 (g-proteobacteria), Coxiella burnetii; Coxiella; Coxiellaceae; Legionellales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE016829.2, Plasmid, 37319, 227377, Coxiella burnetii RSA 493 (g-proteobacteria), Coxiella burnetii; Coxiella; Coxiellaceae; Legionellales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE016830.1, Chromosome, 3218031, 226185, Enterococcus faecalis V583 (firmicutes), Enterococcus faecalis; Enterococcus; Enterococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE016833.1, Plasmid, 66320, 226185, Enterococcus faecalis V583 (firmicutes), Enterococcus faecalis; Enterococcus; Enterococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE016831.1, Plasmid, 57660, 226185, Enterococcus faecalis V583 (firmicutes), Enterococcus faecalis; Enterococcus; Enterococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE016832.1, Plasmid, 17963, 226185, Enterococcus faecalis V583 (firmicutes), Enterococcus faecalis; Enterococcus; Enterococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE016853.1, Chromosome, 6397126, 223283, [Pseudomonas syringae] pv. tomato str. DC3000 (g-proteobacteria), Pseudomonas syringae pv. tomato; Pseudomonas syringae group genomosp. 3; Pseudomonas syringae group; Pseudomonas; Pseudomonadaceae; Pseudomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE016855.1, Plasmid, 73661, 223283, [Pseudomonas syringae] pv. tomato str. DC3000 (g-proteobacteria), Pseudomonas syringae pv. tomato; Pseudomonas syringae group genomosp. 3; Pseudomonas syringae group; Pseudomonas; Pseudomonadaceae; Pseudomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE016854.1, Plasmid, 67473, 223283, [Pseudomonas syringae] pv. tomato str. DC3000 (g-proteobacteria), Pseudomonas syringae pv. tomato; Pseudomonas syringae group genomosp. 3; Pseudomonas syringae group; Pseudomonas; Pseudomonadaceae; Pseudomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE016877.1, Chromosome, 5411809, 226900, Bacillus cereus ATCC 14579 (firmicutes), Bacillus cereus; Bacillus cereus group; Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE016878.2, Plasmid, 15274, 226900, Bacillus cereus ATCC 14579 (firmicutes), Bacillus cereus; Bacillus cereus group; Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE016879.1, Chromosome, 5227293, 198094, Bacillus anthracis str. Ames (firmicutes), Bacillus anthracis; Bacillus cereus group; Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE016958.1, Chromosome, 4829781, 262316, Mycobacterium avium subsp. paratuberculosis K-10 (high GC Gram+), Mycobacterium avium subsp. paratuberculosis; Mycobacterium avium; Mycobacterium avium complex (MAC); Mycobacterium; Mycobacteriaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
AE017042.1, Chromosome, 4595065, 229193, Yersinia pestis biovar Microtus str. 91001 (enterobacteria), Yersinia pestis subsp. microtus; Yersinia pestis; Yersinia pseudotuberculosis complex; Yersinia; Yersiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE017043.1, Plasmid, 70159, 229193, Yersinia pestis biovar Microtus str. 91001 (enterobacteria), Yersinia pestis subsp. microtus; Yersinia pestis; Yersinia pseudotuberculosis complex; Yersinia; Yersiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE017044.1, Plasmid, 21742, 229193, Yersinia pestis biovar Microtus str. 91001 (enterobacteria), Yersinia pestis subsp. microtus; Yersinia pestis; Yersinia pseudotuberculosis complex; Yersinia; Yersiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE017045.1, Plasmid, 106642, 229193, Yersinia pestis biovar Microtus str. 91001 (enterobacteria), Yersinia pestis subsp. microtus; Yersinia pestis; Yersinia pseudotuberculosis complex; Yersinia; Yersiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE017046.1, Plasmid, 9609, 229193, Yersinia pestis biovar Microtus str. 91001 (enterobacteria), Yersinia pestis subsp. microtus; Yersinia pestis; Yersinia pseudotuberculosis complex; Yersinia; Yersiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE017125.1, Chromosome, 1799146, 235279, Helicobacter hepaticus ATCC 51449 (e-proteobacteria), Helicobacter hepaticus; Helicobacter; Helicobacteraceae; Campylobacterales; Epsilonproteobacteria; delta/epsilon subdivisions; Proteobacteria; Bacteria; cellular organisms
AE017126.1, Chromosome, 1751080, 167539, Prochlorococcus marinus subsp. marinus str. CCMP1375 (cyanobacteria), Prochlorococcus marinus subsp. marinus; Prochlorococcus marinus; Prochlorococcus; Prochloraceae; Synechococcales; Cyanobacteria; Cyanobacteria/Melainabacteria group; Terrabacteria group; Bacteria; cellular organisms
AE017143.1, Chromosome, 1698955, 233412, Haemophilus ducreyi 35000HP (g-proteobacteria), [Haemophilus] ducreyi; Haemophilus; Pasteurellaceae; Pasteurellales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE017180.2, Chromosome, 3814128, 243231, Geobacter sulfurreducens PCA (d-proteobacteria), Geobacter sulfurreducens; Geobacter; Geobacteraceae; Desulfuromonadales; Deltaproteobacteria; delta/epsilon subdivisions; Proteobacteria; Bacteria; cellular organisms
AE017194.1, Chromosome, 5224283, 222523, Bacillus cereus ATCC 10987 (firmicutes), Bacillus cereus; Bacillus cereus group; Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE017195.1, Plasmid, 208369, 222523, Bacillus cereus ATCC 10987 (firmicutes), Bacillus cereus; Bacillus cereus group; Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
AE017196.1, Chromosome, 1267782, 163164, Wolbachia endosymbiont of Drosophila melanogaster (a-proteobacteria), Wolbachia; Wolbachieae; Anaplasmataceae; Rickettsiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE017197.1, Chromosome, 1111496, 257363, Rickettsia typhi str. Wilmington (a-proteobacteria), Rickettsia typhi; typhus group; Rickettsia; Rickettsieae; Rickettsiaceae; Rickettsiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AE017198.1, Chromosome, 1992676, 257314, Lactobacillus johnsonii NCC 533 (firmicutes), Lactobacillus johnsonii; Lactobacillus; Lactobacillaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
